Month,SearchVol,,,,
2017-04,0,,,,
2017-05,0,,,,
2017-06,0,,,,
2017-07,0,,,,
2017-08,0,,,,
2017-09,0,,,,
2017-10,0,,,,
2017-11,0,,,,
2017-12,1,,,,
2018-01,1,,,,
2018-02,0,,,,
2018-03,1,,,,
2018-04,1,,,,
2018-05,1,,,,
2018-06,1,,,,
2018-07,1,,,,
2018-08,1,,,,
2018-09,1,,,,
2018-10,1,,,,
2018-11,1,,,,
2018-12,1,,,,
2019-01,1,,,,
2019-02,2,,,,
2019-03,3,,,,
2019-04,2,,,,
2019-05,3,,,,
2019-06,3,,,,
2019-07,3,,,,
2019-08,4,,,,
2019-09,3,,,,
2019-10,5,,,,
2019-11,5,,,,
2019-12,6,,,,
2020-01,6,,,,
2020-02,6,,,,
2020-03,9,,,,
2020-04,7,,,,
2020-05,7,,,,
2020-06,15,,,,
2020-07,13,,,,
2020-08,18,,,,
2020-09,27,,,,
2020-10,100,,,,
2020-11,47,,,,
2020-12,21,,,,
2021-01,17,,,,
2021-02,14,,,,
2021-03,30,,,,
2021-04,16,,,,
2021-05,10,,,,
2021-06,9,,,,
2021-07,8,,,,
2021-08,10,,,,
2021-09,8,,,,
2021-10,8,,,,
2021-11,12,,,,
2021-12,8,,,,
2022-01,7,,,,
2022-02,7,,,,
2022-03,7,,,,
2022-04,6,,,,
2022-05,8,,,,
2022-06,30,,,,
2022-07,20,,,,
2022-08,12,,,,
2022-09,11,,,,
2022-10,17,,,,
2022-11,7,,,,
2022-12,7,,,,
2023-01,7,,,,
2023-02,6,,,,
2023-03,5,,,,
2023-04,6,,,,
2023-05,9,,,,
2023-06,26,,,,
2023-07,13,,,,
2023-08,8,,,,
2023-09,8,,,,
2023-10,10,,,,
2023-11,6,,,,
2023-12,4,,,,
2024-01,6,,,,
2024-02,6,,,,
2024-03,4,,,,
2024-04,4,,,,
2024-05,5,,,,
2024-06,19,,,,
2024-07,11,,,,
2024-08,7,,,,
2024-09,5,,,,
2024-10,7,,,,
2024-11,5,,,,
2024-12,5,,,,
2025-01,4,,,,
2025-02,4,,,,
2025-03,3,,,,
2025-04,3,,,,
2025-05,3,,,,
2025-06,3,,,,
2025-07,4,,,,
2025-08,3,,,,
2025-09,3,,,1,2
2025-10,3,,,,5
2025-11,0,,,,
2025-12,0,,,,
2026-01,0,,,,
2026-02,0,,,,
2026-03,0,,,,
2026-04,0,,,,
2026-05,0,,,,
2026-06,0,,,,
2026-07,1,,,,
2026-08,1,,,,
2026-09,0,,,,
2026-10,1,,,,
2026-11,1,,,,
2026-12,1,,,,
2027-01,1,,,,
2027-02,1,,,,
2027-03,1,,,,
2027-04,1,,,,
2027-05,1,,,,
2027-06,1,,,,
2027-07,1,,,,
2027-08,1,,,,
2027-09,2,,,,
2027-10,3,,,,
2027-11,2,,,,
2027-12,3,,,,
2028-01,3,,,,
2028-02,3,,,,
2028-03,4,,,,
2028-04,3,,,,
2028-05,5,,,,
2028-06,5,,,,
2028-07,6,,,,
2028-08,6,,,,
2028-09,6,,,,
2028-10,9,,,,
2028-11,7,,,,
2028-12,7,,,,
2029-01,15,,,,
2029-02,13,,,,
2029-03,18,,,,
2029-04,27,,,,
2029-05,100,,,,
2029-06,47,,,,
2029-07,21,,,,
2029-08,17,,,,
2029-09,14,,,,
2029-10,30,,,,
2029-11,16,,,,
2029-12,10,,,,
2030-01,9,,,,
2030-02,8,,,,
2030-03,10,,,,
2030-04,8,,,,
2030-05,8,,,,
2030-06,12,,,,
2030-07,8,,,,
2030-08,7,,,,
2030-09,7,,,,
2030-10,7,,,,
2030-11,6,,,,
2030-12,8,,,,
2031-01,30,,,,
2031-02,20,,,,
2031-03,12,,,,
2031-04,11,,,,
2031-05,17,,,,
2031-06,7,,,,
2031-07,7,,,,
2031-08,7,,,,
2031-09,6,,,,
2031-10,5,,,,
2031-11,6,,,,
2031-12,9,,,,
2032-01,26,,,,
2032-02,13,,,,
2032-03,8,,,,
2032-04,8,,,,
2032-05,10,,,,
2032-06,6,,,,
2032-07,4,,,,
2032-08,6,,,,
2032-09,6,,,,
2032-10,4,,,,
2032-11,4,,,,
2032-12,5,,,,
2033-01,19,,,,
2033-02,11,,,,
2033-03,7,,,,
2033-04,5,,,,
2033-05,7,,,,
2033-06,5,,,,
2033-07,5,,,,
2033-08,4,,,,
2033-09,4,,,,
2033-10,3,,,,
2033-11,3,,,,
2033-12,3,,,,
2034-01,3,,,,
2034-02,4,,,,
2034-03,3,,,,
2034-04,3,,,,
2034-05,3,,,,
2034-06,0,,,,
2034-07,0,,,,
2034-08,0,,,,
2034-09,0,,,,
2034-10,0,,,,
2034-11,0,,,,
2034-12,0,,,,
2035-01,0,,,,
2035-02,1,,,,
2035-03,1,,,,
2035-04,0,,,,
2035-05,1,,,,
2035-06,1,,,,
2035-07,1,,,,
2035-08,1,,,,
2035-09,1,,,,
2035-10,1,,,,
2035-11,1,,,,
2035-12,1,,,,
2036-01,1,,,,
2036-02,1,,,,
2036-03,1,,,,
2036-04,2,,,,
2036-05,3,,,,
2036-06,2,,,,
2036-07,3,,,,
2036-08,3,,,,
2036-09,3,,,,
2036-10,4,,,,
2036-11,3,,,,
2036-12,5,,,,
2037-01,5,,,,
2037-02,6,,,,
2037-03,6,,,,
2037-04,6,,,,
2037-05,9,,,,
2037-06,7,,,,
2037-07,7,,,,
2037-08,15,,,,
2037-09,13,,,,
2037-10,18,,,,
2037-11,27,,,,
2037-12,100,,,,
2038-01,47,,,,
2038-02,21,,,,
2038-03,17,,,,
2038-04,14,,,,
2038-05,30,,,,
2038-06,16,,,,
2038-07,10,,,,
2038-08,9,,,,
2038-09,8,,,,
2038-10,10,,,,
2038-11,8,,,,
2038-12,8,,,,
2039-01,12,,,,
2039-02,8,,,,
2039-03,7,,,,
2039-04,7,,,,
2039-05,7,,,,
2039-06,6,,,,
2039-07,8,,,,
2039-08,30,,,,
2039-09,20,,,,
2039-10,12,,,,
2039-11,11,,,,
2039-12,17,,,,
2040-01,7,,,,
2040-02,7,,,,
2040-03,7,,,,
2040-04,6,,,,
2040-05,5,,,,
2040-06,6,,,,
2040-07,9,,,,
2040-08,26,,,,
2040-09,13,,,,
2040-10,8,,,,
2040-11,8,,,,
2040-12,10,,,,
2041-01,6,,,,
2041-02,4,,,,
2041-03,6,,,,
2041-04,6,,,,
2041-05,4,,,,
2041-06,4,,,,
2041-07,5,,,,
2041-08,19,,,,
2041-09,11,,,,
2041-10,7,,,,
2041-11,5,,,,
2041-12,7,,,,
2042-01,5,,,,
2042-02,5,,,,
2042-03,4,,,,
2042-04,4,,,,
2042-05,3,,,,
2042-06,3,,,,
2042-07,3,,,,
2042-08,3,,,,
2042-09,4,,,,
2042-10,3,,,,
2042-11,3,,,,
2042-12,3,,,,
